module,surface,control,control_type,state,ezee_detail,pelbu_status,pelbu_route,priority,evidence
FO Nav,Front Office sidebar,Walk In,nav,enabled,3-step wizard,Partial,"/erp/calendar; DeskBook StayHub walk-in CI",P2,screenshot+FEATURES
FO Nav,Front Office sidebar,Reservation,nav,enabled,opens res wizard,Parity,"/erp/reservations?new=1 DeskBook",P2,screenshot+FEATURES
FO Nav,Front Office sidebar,Reservation List,nav,enabled,status radios+grid,Partial,/erp/reservations,P0,screenshot+FEATURES
FO Nav,Front Office sidebar,New Booking,nav,enabled,4-step book wizard,Partial,party board multi-room DeskBook,P1,screenshot
FO Nav,Front Office sidebar,Booking List,nav,enabled,booking# list,Partial,overlaps reservations,P2,screenshot
FO Nav,Front Office sidebar,Out of Order,nav,enabled,OOO module,Parity,/erp/rooms; calendar OOO,P2,screenshot+FEATURES
FO Nav,Front Office sidebar,Guest Ledger,nav,enabled,in-house multi-ID,Partial,/erp/in-house + StayHub Folio,P1,screenshot
FO Nav,Front Office sidebar,Arrival List,nav,enabled,arrivals with filters,Parity,/erp/arrivals → StayHub,—,screenshot+FEATURES
FO Nav,Front Office sidebar,Departure List,nav,enabled,departures with filters,Parity,/erp/departures → StayHub,—,screenshot+FEATURES
FO Nav,Front Office sidebar,Guest Database,nav,enabled,profile list advanced,Partial,/erp/guests,P1,screenshot
FO Nav,Front Office sidebar,Guest Message,nav,enabled,messages by room,Missing,none,P2,screenshot
FO Chrome,Header,Global Search CTRL+SPACE,search,enabled,search anything,Parity,Ctrl+K,—,screenshot+FEATURES
FO Chrome,Status bar,Working Date,status,enabled,business date,Partial,header Biz date chip,P1,screenshot+FEATURES
FO Chrome,Status bar,Audited Date,status,enabled,last NA date,Partial,night audit,P1,screenshot
FO Chrome,Status bar,Shift Date,status,enabled,shift timestamp,Missing,none,P1,screenshot
FO Chrome,Footer,Live Support,link,enabled,headset chat,Behind_by_design,ops WhatsApp/docs,Defer,screenshot
Wizard,Walk-in/Res Info,Rate Type,dropdown,enabled,RACK RATE + plans,Partial,DeskBook meal/tier,P1,screenshot
Wizard,Walk-in/Res Info,Arrival,date,enabled,,Parity,DeskBook dates,—,screenshot
Wizard,Walk-in/Res Info,Departure,date,enabled,,Parity,DeskBook dates,—,screenshot
Wizard,Walk-in/Res Info,Nights,stepper,enabled,,Parity,DeskBook,—,screenshot
Wizard,Walk-in/Res Info,Adults,stepper,enabled,,Parity,DeskBook,—,screenshot
Wizard,Walk-in/Res Info,Children,stepper,enabled,,Partial,child packages,P1,screenshot
Wizard,Walk-in/Res Info,Infants,stepper,enabled,,Partial,infant free-under rule UI thin,P1,screenshot
Wizard,Walk-in/Res Info,Tax Exempt Bhutan Sale Tax,checkbox,enabled,,Missing,folio gst_applicable only,P0,screenshot
Wizard,Walk-in/Res Info,Tax Exempt GST(5%),checkbox,enabled,,Missing,folio/gst policy,P0,screenshot
Wizard,Walk-in/Res Info,Tax Exempt Service,checkbox,enabled,,Missing,none,P0,screenshot
Wizard,Walk-in/Res Info,Rate Inclusive Tax,radio,enabled,,Missing,no FO toggle,P0,screenshot
Wizard,Walk-in/Res Info,Rate Exclusive Tax,radio,enabled,default,Partial,property tax default,P0,screenshot
