id,name,phone,email,website,slug,dzongkhag,source_url
589,xplore Bhutan,+975 17474180,pemanidupbsa@gmail.com,http://www.bhutanxplore.com/,xplore-bhutan,Thimphu,https://services.bhutan.travel/search/tour-operator/xplore-bhutan
1444,Happiness Horizon Travel,+975 16108570,info@happinesstravel.bt,http://www.happinesstravel.bt,happiness-horizon-travel,Thimphu,https://services.bhutan.travel/search/tour-operator/happiness-horizon-travel
1405,Travel To Bhutan,+975 17621454,mailtraveltobhutan@gmail.com,http://www.traveltobhutan.bt,travel-to-bhutan,Thimphu,https://services.bhutan.travel/search/tour-operator/travel-to-bhutan
1173,Aarya Village Travel,+975 77622411,aaryatravelbhutan@gmail.com,http://aaryatour.com/#contact,aarya-village-travel,Thimphu,https://services.bhutan.travel/search/tour-operator/aarya-village-travel
1048,Renown Bhutan Adventures,+975 77759316,renownbhutanadv@gmail.com,http://www.renownbhutanadventures.com,renown-bhutan-adventures,Thimphu,https://services.bhutan.travel/search/tour-operator/renown-bhutan-adventures
553,High Hills Travelers,+975 17665558,highillstravelers@gmail.com,http://www.highills.bt,high-hills-travelers,Thimphu,https://services.bhutan.travel/search/tour-operator/high-hills-travelers
556,Green Zone Destination,+975 17264398,greenzdestination@gmail.com,http://www.greenzonedestination.com,green-zone-destination,Thimphu,https://services.bhutan.travel/search/tour-operator/green-zone-destination
511,Gems Bhutan Travels,+975 77888899,gem@gemsbhutantravels.com,http://www.gemsbhutantravels.com,gems-bhutan-travels,Thimphu,https://services.bhutan.travel/search/tour-operator/gems-bhutan-travels
1485,Basnet Adventures,+975 77333220,info@wonderbhutan.com,http://wonderbhutan.com,basnet-adventures,Thimphu,https://services.bhutan.travel/search/tour-operator/basnet-adventures
605,Bhutan Green Travel (BGT),+975 17619661,info@bhutangreentravel.com,http://www.bhutangreentravel.com,bhutan-green-travel-bgt,Thimphu,https://services.bhutan.travel/search/tour-operator/bhutan-green-travel-bgt
1661,Bhutan Mandala Tours & Treks,+975 17111704,bhutanmandala2023@gmail.com,http://www.bhumandalatravels.com,bhutan-mandala-tours-treks,Thimphu,https://services.bhutan.travel/search/tour-operator/bhutan-mandala-tours-treks
584,Holidays Bhutan,+975 17607080,sangay@holidays.bt,http://www.holidays.bt,holidays-bhutan,Thimphu,https://services.bhutan.travel/search/tour-operator/holidays-bhutan
1157,Sundara Bhutan,+975 77783859,sundarabhutan@gmail.com,http://www.sundarabhutan.com,sundara-bhutan,Thimphu,https://services.bhutan.travel/search/tour-operator/sundara-bhutan
350,Moenlam Travels,+975 77886617,moenlamtravels@gmail.com,http://moenlamtravels.com,moenlam-travels,Thimphu,https://services.bhutan.travel/search/tour-operator/moenlam-travels
