Email Address,First Name,Last Name,Company,Phone,City,State,Website,Tags,Source,Notes
naturewings.m@gmail.com,,,NatureWings Holidays Ltd.,+91 98300 13505 / +91 99035 39505,Kolkata,West Bengal,https://www.naturewings.com/,"india-agent,bhutan-package,kolkata,dmc,specialist",public website,Bhutan specialist; also Mumbai/Delhi offices; TCB-linked messaging
holiday@kesari.in,,,Kesari Tours Pvt. Ltd.,1800 266 1100 / WhatsApp +91 99303 30066,Mumbai,Maharashtra,https://www.kesari.in/,"india-agent,bhutan-package,mumbai,national-brand",public website,Group + FIT Bhutan tours
enquiry@thomascook.in,,,Thomas Cook India,1800 2099 100,Mumbai,Maharashtra,https://www.thomascook.in/,"india-agent,bhutan-package,mumbai,national-brand,ota-retail",public website,Bhutan packages on site; HQ Marathon Futurex Lower Parel
travel@veenaworld.com,,,Veena World,1800 313 5555 / +91 22 2101 7979 / +91 22 2101 6969,Mumbai,Maharashtra,https://www.veenaworld.com/,"india-agent,bhutan-package,mumbai,national-brand",public website,Blissful Bhutan and related packages
info@tci.co.in,,,Travel Corporation (India) Ltd. / TCI,+91 124 4703400,Gurugram,Haryana,https://www.tci.co.in/,"india-agent,bhutan-package,delhi-ncr,dmc,inbound",public website,Network covers India Nepal Bhutan Sri Lanka
lalit.garg@tripwizard.co.in,Lalit,Garg,Tripwizard Solutions,+91 89187 74375,Siliguri,West Bengal,https://tripwizard.co.in/,"india-agent,bhutan-package,siliguri,dmc,b2b",public website,B2B DMC Bhutan Sikkim Darjeeling
b2b@travelershub.in,,,Travelers Hub,+91 81455 10008,Siliguri,West Bengal,https://www.travelershub.in/,"india-agent,bhutan-package,siliguri,dmc,b2b",public website,B2B Bhutan DMC; Sevoke Road Siliguri
info@musafirana.com,,,Musafirana Tourism Services,+91 90514 19829,Kolkata,West Bengal,https://musafirana.com/,"india-agent,bhutan-package,kolkata,b2b,specialist",public website,B2B; Kolkata and Bengaluru; IATO/ADTOI affiliations per site
info@dreamlandtravel.co.in,,,Dreamland Travel,+91 11 4550 1020,New Delhi,Delhi,https://holiday.dreamlandtravel.co.in/,"india-agent,bhutan-package,delhi-ncr,retail",public website,Essence of Bhutan packages
info@artstravels.in,,,Arts Travels,+91 98100 29609 / +91 96500 29609,New Delhi,Delhi,https://artstravels.in/,"india-agent,bhutan-package,delhi-ncr,retail",public website,Malviya Nagar; also travel@artstravels.in
travel@artstravels.in,,,Arts Travels (sales),+91 98100 29609 / +91 96500 29609,New Delhi,Delhi,https://artstravels.in/,"india-agent,bhutan-package,delhi-ncr,retail",public website,Secondary sales email
info@mountainadventure.co.in,,,Mountain Adventure Tours & Travels,+91 354 2251134,Darjeeling,West Bengal,https://www.mountainadventure.co.in/,"india-agent,bhutan-package,darjeeling,retail",public website,Sikkim–Bhutan; also 1971mato@gmail.com
1971mato@gmail.com,,,Mountain Adventure Tours & Travels,+91 354 2251134,Darjeeling,West Bengal,https://www.mountainadventure.co.in/,"india-agent,bhutan-package,darjeeling,retail",public website,Secondary email
rstravels86@gmail.com,,,RS Travels,+91 87688 41510 / +91 95478 60049,Jaigaon,West Bengal,https://www.rstravels.co.in/,"india-agent,bhutan-package,jaigaon,border-road",public website,Opp Bhutan Gate Subham Complex
sales@sheeyatourntravels.com,,,Sheeya Tours & Travels,+91 99324 31887 / +91 95639 75401,Siliguri,West Bengal,https://www.sheeyatourntravels.com/,"india-agent,bhutan-package,siliguri,logistics",public listing,Also info@sheeyatourntravels.com
info@sheeyatourntravels.com,,,Sheeya Tours & Travels,+91 99324 31887 / +91 95639 75401,Siliguri,West Bengal,https://www.sheeyatourntravels.com/,"india-agent,bhutan-package,siliguri,logistics",public listing,Secondary email
info@dreamwaydestinations.com,,,Dream Way Destinations,+91 97334 65000 / +91 94740 92500,,,https://www.dreamwaydestinations.com/,"india-agent,bhutan-package,logistics",public listing,Cars and packages for Bhutan
holiday@sharmatours.in,,,Sharma Tours,+91 74790 41101,Siliguri,West Bengal,https://www.renta-cab.com/,"india-agent,bhutan-package,siliguri,logistics",public listing,Also sharma33578@gmail.com / rentacab.slg@gmail.com
info@geminitravels.com,,,Gemini Travels,+91 22 2102 6004 / +91 22 2102 2105,Mumbai,Maharashtra,http://www.geminitravels.com/,"india-agent,bhutan-package,mumbai,logistics",public listing,Listed for Bhutan vehicle logistics
partners@yatra.com,,,Yatra Partner Programme,0124 4983607,Gurugram,Haryana,https://partner.yatra.com/,"india-agent,bhutan-package,delhi-ncr,ota-partner",public website,Partner onboarding channel — not a single tour operator
partner@yatra.com,,,Yatra Partner Programme (alt),0124 4983607,Gurugram,Haryana,https://partner.yatra.com/,"india-agent,bhutan-package,delhi-ncr,ota-partner",public website,Alternate partner email
