Email Address,First Name,Last Name,Company,Phone,City,State,Address,Website,Tags,Source,Notes
pemanidupbsa@gmail.com,,,xplore Bhutan,+975 17474180,Thimphu,,,http://www.bhutanxplore.com/,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/xplore-bhutan
info@happinesstravel.bt,,,Happiness Horizon Travel,+975 16108570,Thimphu,,,http://www.happinesstravel.bt,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/happiness-horizon-travel
mailtraveltobhutan@gmail.com,,,Travel To Bhutan,+975 17621454,Thimphu,,,http://www.traveltobhutan.bt,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/travel-to-bhutan
aaryatravelbhutan@gmail.com,,,Aarya Village Travel,+975 77622411,Thimphu,,,http://aaryatour.com/#contact,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/aarya-village-travel
renownbhutanadv@gmail.com,,,Renown Bhutan Adventures,+975 77759316,Thimphu,,,http://www.renownbhutanadventures.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/renown-bhutan-adventures
highillstravelers@gmail.com,,,High Hills Travelers,+975 17665558,Thimphu,,,http://www.highills.bt,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/high-hills-travelers
greenzdestination@gmail.com,,,Green Zone Destination,+975 17264398,Thimphu,,,http://www.greenzonedestination.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/green-zone-destination
gem@gemsbhutantravels.com,,,Gems Bhutan Travels,+975 77888899,Thimphu,,,http://www.gemsbhutantravels.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/gems-bhutan-travels
info@wonderbhutan.com,,,Basnet Adventures,+975 77333220,Thimphu,,,http://wonderbhutan.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/basnet-adventures
info@bhutangreentravel.com,,,Bhutan Green Travel (BGT),+975 17619661,Thimphu,,,http://www.bhutangreentravel.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/bhutan-green-travel-bgt
bhutanmandala2023@gmail.com,,,Bhutan Mandala Tours & Treks,+975 17111704,Thimphu,,,http://www.bhumandalatravels.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/bhutan-mandala-tours-treks
sangay@holidays.bt,,,Holidays Bhutan,+975 17607080,Thimphu,,,http://www.holidays.bt,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/holidays-bhutan
sundarabhutan@gmail.com,,,Sundara Bhutan,+975 77783859,Thimphu,,,http://www.sundarabhutan.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/sundara-bhutan
moenlamtravels@gmail.com,,,Moenlam Travels,+975 77886617,Thimphu,,,http://moenlamtravels.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/moenlam-travels
yetimanbt@yahoo.com,,,BHUTAN TAKIN TRAILS,+975 17338844,Thimphu,,,http://www.bhutantakintrails.com,bhutan-agent;tcb-directory;thimphu-agent,tcb-portal,TCB https://services.bhutan.travel/search/tour-operator/bhutan-takin-trails
